Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Gift Card,SEO Title,SEO Description,Status
pano-microfibra-kit-10,Pano Microfibra Kit 10,<p>Casa · envio após a confirmação do pagamento.</p>,ALVA,,Casa,Casa,TRUE,Title,Default Title,casa-039,300,shopify,79,deny,manual,36.26,,TRUE,FALSE,FALSE,Pano Microfibra Kit 10 — ALVA,Casa · envio após a confirmação do pagamento.,active
lixeira-com-pedal,Lixeira com Pedal,<p>Casa · envio após a confirmação do pagamento.</p>,ALVA,,Casa,Casa,TRUE,Title,Default Title,casa-040,300,shopify,80,deny,manual,118.10,,TRUE,FALSE,FALSE,Lixeira com Pedal — ALVA,Casa · envio após a confirmação do pagamento.,active
cama-caverna-gato,Cama Caverna Gato,<p>Pet · envio após a confirmação do pagamento.</p>,ALVA,,Pet,Pet,TRUE,Title,Default Title,pet-041,300,shopify,81,deny,manual,119.76,,TRUE,FALSE,FALSE,Cama Caverna Gato — ALVA,Pet · envio após a confirmação do pagamento.,active
cama-ortopedica-cao,Cama Ortopédica Cão,<p>Pet · envio após a confirmação do pagamento.</p>,ALVA,,Pet,Pet,TRUE,Title,Default Title,pet-042,300,shopify,82,deny,manual,190.62,,TRUE,FALSE,FALSE,Cama Ortopédica Cão — ALVA,Pet · envio após a confirmação do pagamento.,active
coleira-led-recarregavel,Coleira LED Recarregável,<p>Pet · envio após a confirmação do pagamento.</p>,ALVA,,Pet,Pet,TRUE,Title,Default Title,pet-043,300,shopify,83,deny,manual,39.06,,TRUE,FALSE,FALSE,Coleira LED Recarregável — ALVA,Pet · envio após a confirmação do pagamento.,active
guia-retratil-5m,Guia Retrátil 5m,<p>Pet · envio após a confirmação do pagamento.</p>,ALVA,,Pet,Pet,TRUE,Title,Default Title,pet-044,300,shopify,84,deny,manual,64.24,,TRUE,FALSE,FALSE,Guia Retrátil 5m — ALVA,Pet · envio após a confirmação do pagamento.,active
comedouro-lento,Comedouro Lento,<p>Pet · envio após a confirmação do pagamento.</p>,ALVA,,Pet,Pet,TRUE,Title,Default Title,pet-045,300,shopify,85,deny,manual,73.14,,TRUE,FALSE,FALSE,Comedouro Lento — ALVA,Pet · envio após a confirmação do pagamento.,active
fonte-agua-gato,Fonte Água Gato,<p>Pet · envio após a confirmação do pagamento.</p>,ALVA,,Pet,Pet,TRUE,Title,Default Title,pet-046,300,shopify,86,deny,manual,153.32,,TRUE,FALSE,FALSE,Fonte Água Gato — ALVA,Pet · envio após a confirmação do pagamento.,active
arranhador-torre,Arranhador Torre,<p>Pet · envio após a confirmação do pagamento.</p>,ALVA,,Pet,Pet,TRUE,Title,Default Title,pet-047,300,shopify,87,deny,manual,227.92,,TRUE,FALSE,FALSE,Arranhador Torre — ALVA,Pet · envio após a confirmação do pagamento.,active
brinquedo-laser,Brinquedo Laser,<p>Pet · envio após a confirmação do pagamento.</p>,ALVA,,Pet,Pet,TRUE,Title,Default Title,pet-048,300,shopify,88,deny,manual,55.94,,TRUE,FALSE,FALSE,Brinquedo Laser — ALVA,Pet · envio após a confirmação do pagamento.,active
dispenser-cata-caca,Dispenser Cata-Caca,<p>Pet · envio após a confirmação do pagamento.</p>,ALVA,,Pet,Pet,TRUE,Title,Default Title,pet-049,300,shopify,89,deny,manual,21.76,,TRUE,FALSE,FALSE,Dispenser Cata-Caca — ALVA,Pet · envio após a confirmação do pagamento.,active
roupa-cao-inverno,Roupa Cão Inverno,<p>Pet · envio após a confirmação do pagamento.</p>,ALVA,,Pet,Pet,TRUE,Title,Default Title,pet-050,300,shopify,40,deny,manual,85.98,,TRUE,FALSE,FALSE,Roupa Cão Inverno — ALVA,Pet · envio após a confirmação do pagamento.,active
peitoral-antipuxao,Peitoral Antipuxão,<p>Pet · envio após a confirmação do pagamento.</p>,ALVA,,Pet,Pet,TRUE,Title,Default Title,pet-051,300,shopify,41,deny,manual,81.84,,TRUE,FALSE,FALSE,Peitoral Antipuxão — ALVA,Pet · envio após a confirmação do pagamento.,active
escova-tira-pelos,Escova Tira-Pelos,<p>Pet · envio após a confirmação do pagamento.</p>,ALVA,,Pet,Pet,TRUE,Title,Default Title,pet-052,300,shopify,42,deny,manual,47.66,,TRUE,FALSE,FALSE,Escova Tira-Pelos — ALVA,Pet · envio após a confirmação do pagamento.,active
tapete-higienico-lavavel,Tapete Higiênico Lavável,<p>Pet · envio após a confirmação do pagamento.</p>,ALVA,,Pet,Pet,TRUE,Title,Default Title,pet-053,300,shopify,43,deny,manual,95.32,,TRUE,FALSE,FALSE,Tapete Higiênico Lavável — ALVA,Pet · envio após a confirmação do pagamento.,active
brinquedo-mordedor,Brinquedo Mordedor,<p>Pet · envio após a confirmação do pagamento.</p>,ALVA,,Pet,Pet,TRUE,Title,Default Title,pet-054,300,shopify,44,deny,manual,39.36,,TRUE,FALSE,FALSE,Brinquedo Mordedor — ALVA,Pet · envio após a confirmação do pagamento.,active
cama-janela-gato,Cama Janela Gato,<p>Pet · envio após a confirmação do pagamento.</p>,ALVA,,Pet,Pet,TRUE,Title,Default Title,pet-055,300,shopify,45,deny,manual,135.72,,TRUE,FALSE,FALSE,Cama Janela Gato — ALVA,Pet · envio após a confirmação do pagamento.,active
comedouro-elevado,Comedouro Elevado,<p>Pet · envio após a confirmação do pagamento.</p>,ALVA,,Pet,Pet,TRUE,Title,Default Title,pet-056,300,shopify,46,deny,manual,108.78,,TRUE,FALSE,FALSE,Comedouro Elevado — ALVA,Pet · envio após a confirmação do pagamento.,active
gps-pet-mini,GPS Pet Mini,<p>Pet · envio após a confirmação do pagamento.</p>,ALVA,,Pet,Pet,TRUE,Title,Default Title,pet-057,300,shopify,47,deny,manual,173.02,,TRUE,FALSE,FALSE,GPS Pet Mini — ALVA,Pet · envio após a confirmação do pagamento.,active
tunel-para-gato,Túnel para Gato,<p>Pet · envio após a confirmação do pagamento.</p>,ALVA,,Pet,Pet,TRUE,Title,Default Title,pet-058,300,shopify,48,deny,manual,70.44,,TRUE,FALSE,FALSE,Túnel para Gato — ALVA,Pet · envio após a confirmação do pagamento.,active
bolsa-transporte-pet,Bolsa Transporte Pet,<p>Pet · envio após a confirmação do pagamento.</p>,ALVA,,Pet,Pet,TRUE,Title,Default Title,pet-059,300,shopify,49,deny,manual,157.48,,TRUE,FALSE,FALSE,Bolsa Transporte Pet — ALVA,Pet · envio após a confirmação do pagamento.,active
bebedouro-portatil,Bebedouro Portátil,<p>Pet · envio após a confirmação do pagamento.</p>,ALVA,,Pet,Pet,TRUE,Title,Default Title,pet-060,300,shopify,50,deny,manual,50.76,,TRUE,FALSE,FALSE,Bebedouro Portátil — ALVA,Pet · envio após a confirmação do pagamento.,active
bolsa-transversal-mini,Bolsa Transversal Mini,<p>Moda · envio após a confirmação do pagamento.</p>,ALVA,,Moda,Moda,TRUE,Title,Default Title,moda-061,300,shopify,51,deny,manual,39.16,,TRUE,FALSE,FALSE,Bolsa Transversal Mini — ALVA,Moda · envio após a confirmação do pagamento.,active
bolsa-shopper-couro-pu,Bolsa Shopper Couro PU,<p>Moda · envio após a confirmação do pagamento.</p>,ALVA,,Moda,Moda,TRUE,Title,Default Title,moda-062,300,shopify,52,deny,manual,97.38,,TRUE,FALSE,FALSE,Bolsa Shopper Couro PU — ALVA,Moda · envio após a confirmação do pagamento.,active
carteira-slim-rfid,Carteira Slim RFID,<p>Moda · envio após a confirmação do pagamento.</p>,ALVA,,Moda,Moda,TRUE,Title,Default Title,moda-063,300,shopify,53,deny,manual,41.24,,TRUE,FALSE,FALSE,Carteira Slim RFID — ALVA,Moda · envio após a confirmação do pagamento.,active
cinto-couro-fivela,Cinto Couro Fivela,<p>Moda · envio após a confirmação do pagamento.</p>,ALVA,,Moda,Moda,TRUE,Title,Default Title,moda-064,300,shopify,54,deny,manual,58.02,,TRUE,FALSE,FALSE,Cinto Couro Fivela — ALVA,Moda · envio após a confirmação do pagamento.,active
oculos-uv400,Óculos UV400,<p>Moda · envio após a confirmação do pagamento.</p>,ALVA,,Moda,Moda,TRUE,Title,Default Title,moda-065,300,shopify,55,deny,manual,43.52,,TRUE,FALSE,FALSE,Óculos UV400 — ALVA,Moda · envio após a confirmação do pagamento.,active
bone-aba-curva,Boné Aba Curva,<p>Moda · envio após a confirmação do pagamento.</p>,ALVA,,Moda,Moda,TRUE,Title,Default Title,moda-066,300,shopify,56,deny,manual,36.26,,TRUE,FALSE,FALSE,Boné Aba Curva — ALVA,Moda · envio após a confirmação do pagamento.,active
meia-invisivel-kit-5,Meia Invisível Kit 5,<p>Moda · envio após a confirmação do pagamento.</p>,ALVA,,Moda,Moda,TRUE,Title,Default Title,moda-067,300,shopify,57,deny,manual,32.42,,TRUE,FALSE,FALSE,Meia Invisível Kit 5 — ALVA,Moda · envio após a confirmação do pagamento.,active
lenco-seda-cetim,Lenço Seda Cetim,<p>Moda · envio após a confirmação do pagamento.</p>,ALVA,,Moda,Moda,TRUE,Title,Default Title,moda-068,300,shopify,58,deny,manual,49.72,,TRUE,FALSE,FALSE,Lenço Seda Cetim — ALVA,Moda · envio após a confirmação do pagamento.,active
relogio-quartzo-pulseira,Relógio Quartzo Pulseira,<p>Moda · envio após a confirmação do pagamento.</p>,ALVA,,Moda,Moda,TRUE,Title,Default Title,moda-069,300,shopify,59,deny,manual,92.20,,TRUE,FALSE,FALSE,Relógio Quartzo Pulseira — ALVA,Moda · envio após a confirmação do pagamento.,active
brinco-argola-aco,Brinco Argola Aço,<p>Moda · envio após a confirmação do pagamento.</p>,ALVA,,Moda,Moda,TRUE,Title,Default Title,moda-070,300,shopify,60,deny,manual,27.98,,TRUE,FALSE,FALSE,Brinco Argola Aço — ALVA,Moda · envio após a confirmação do pagamento.,active
colar-corrente-fina,Colar Corrente Fina,<p>Moda · envio após a confirmação do pagamento.</p>,ALVA,,Moda,Moda,TRUE,Title,Default Title,moda-071,300,shopify,61,deny,manual,32.12,,TRUE,FALSE,FALSE,Colar Corrente Fina — ALVA,Moda · envio após a confirmação do pagamento.,active
pulseira-ima,Pulseira Imã,<p>Moda · envio após a confirmação do pagamento.</p>,ALVA,,Moda,Moda,TRUE,Title,Default Title,moda-072,300,shopify,62,deny,manual,30.04,,TRUE,FALSE,FALSE,Pulseira Imã — ALVA,Moda · envio após a confirmação do pagamento.,active
necessaire-viagem,Necessaire Viagem,<p>Moda · envio após a confirmação do pagamento.</p>,ALVA,,Moda,Moda,TRUE,Title,Default Title,moda-073,300,shopify,63,deny,manual,53.88,,TRUE,FALSE,FALSE,Necessaire Viagem — ALVA,Moda · envio após a confirmação do pagamento.,active
cinto-faixa-vestido,Cinto Faixa Vestido,<p>Moda · envio após a confirmação do pagamento.</p>,ALVA,,Moda,Moda,TRUE,Title,Default Title,moda-074,300,shopify,64,deny,manual,35.22,,TRUE,FALSE,FALSE,Cinto Faixa Vestido — ALVA,Moda · envio após a confirmação do pagamento.,active
chapeu-bucket,Chapéu Bucket,<p>Moda · envio após a confirmação do pagamento.</p>,ALVA,,Moda,Moda,TRUE,Title,Default Title,moda-075,300,shopify,65,deny,manual,47.66,,TRUE,FALSE,FALSE,Chapéu Bucket — ALVA,Moda · envio após a confirmação do pagamento.,active
mochila-notebook-15,Mochila Notebook 15,<p>Moda · envio após a confirmação do pagamento.</p>,ALVA,,Moda,Moda,TRUE,Title,Default Title,moda-076,300,shopify,66,deny,manual,153.32,,TRUE,FALSE,FALSE,Mochila Notebook 15 — ALVA,Moda · envio após a confirmação do pagamento.,active
pochete-esportiva,Pochete Esportiva,<p>Moda · envio após a confirmação do pagamento.</p>,ALVA,,Moda,Moda,TRUE,Title,Default Title,moda-077,300,shopify,67,deny,manual,42.48,,TRUE,FALSE,FALSE,Pochete Esportiva — ALVA,Moda · envio após a confirmação do pagamento.,active
luva-touchscreen,Luva Touchscreen,<p>Moda · envio após a confirmação do pagamento.</p>,ALVA,,Moda,Moda,TRUE,Title,Default Title,moda-078,300,shopify,68,deny,manual,51.80,,TRUE,FALSE,FALSE,Luva Touchscreen — ALVA,Moda · envio após a confirmação do pagamento.,active
cachecol-tricot,Cachecol Tricot,<p>Moda · envio após a confirmação do pagamento.</p>,ALVA,,Moda,Moda,TRUE,Title,Default Title,moda-079,300,shopify,69,deny,manual,65.26,,TRUE,FALSE,FALSE,Cachecol Tricot — ALVA,Moda · envio após a confirmação do pagamento.,active
porta-cartao-metal,Porta-Cartão Metal,<p>Moda · envio após a confirmação do pagamento.</p>,ALVA,,Moda,Moda,TRUE,Title,Default Title,moda-080,300,shopify,70,deny,manual,37.30,,TRUE,FALSE,FALSE,Porta-Cartão Metal — ALVA,Moda · envio após a confirmação do pagamento.,active
suporte-magnetico-ventosa,Suporte Magnético Ventosa,<p>Carro · envio após a confirmação do pagamento.</p>,ALVA,,Carro,Carro,TRUE,Title,Default Title,carro-081,300,shopify,71,deny,manual,16.68,,TRUE,FALSE,FALSE,Suporte Magnético Ventosa — ALVA,Carro · envio após a confirmação do pagamento.,active
suporte-grade-de-ar,Suporte Grade de Ar,<p>Carro · envio após a confirmação do pagamento.</p>,ALVA,,Carro,Carro,TRUE,Title,Default Title,carro-082,300,shopify,72,deny,manual,24.86,,TRUE,FALSE,FALSE,Suporte Grade de Ar — ALVA,Carro · envio após a confirmação do pagamento.,active
camera-veicular-full-hd,Câmera Veicular Full HD,<p>Carro · envio após a confirmação do pagamento.</p>,ALVA,,Carro,Carro,TRUE,Title,Default Title,carro-083,300,shopify,73,deny,manual,205.44,,TRUE,FALSE,FALSE,Câmera Veicular Full HD — ALVA,Carro · envio após a confirmação do pagamento.,active
aspirador-portatil-120w,Aspirador Portátil 120W,<p>Carro · envio após a confirmação do pagamento.</p>,ALVA,,Carro,Carro,TRUE,Title,Default Title,carro-084,300,shopify,74,deny,manual,214.24,,TRUE,FALSE,FALSE,Aspirador Portátil 120W — ALVA,Carro · envio após a confirmação do pagamento.,active
organizador-banco-traseiro,Organizador Banco Traseiro,<p>Carro · envio após a confirmação do pagamento.</p>,ALVA,,Carro,Carro,TRUE,Title,Default Title,carro-085,300,shopify,75,deny,manual,67.34,,TRUE,FALSE,FALSE,Organizador Banco Traseiro — ALVA,Carro · envio após a confirmação do pagamento.,active
carregador-veicular-45w,Carregador Veicular 45W,<p>Carro · envio após a confirmação do pagamento.</p>,ALVA,,Carro,Carro,TRUE,Title,Default Title,carro-086,300,shopify,76,deny,manual,60.08,,TRUE,FALSE,FALSE,Carregador Veicular 45W — ALVA,Carro · envio após a confirmação do pagamento.,active
camera-de-re,Câmera de Ré,<p>Carro · envio após a confirmação do pagamento.</p>,ALVA,,Carro,Carro,TRUE,Title,Default Title,carro-087,300,shopify,77,deny,manual,116.04,,TRUE,FALSE,FALSE,Câmera de Ré — ALVA,Carro · envio após a confirmação do pagamento.,active
tapete-borracha-universal,Tapete Borracha Universal,<p>Carro · envio após a confirmação do pagamento.</p>,ALVA,,Carro,Carro,TRUE,Title,Default Title,carro-088,300,shopify,78,deny,manual,138.82,,TRUE,FALSE,FALSE,Tapete Borracha Universal — ALVA,Carro · envio após a confirmação do pagamento.,active
protetor-sol-para-brisa,Protetor Sol Para-brisa,<p>Carro · envio após a confirmação do pagamento.</p>,ALVA,,Carro,Carro,TRUE,Title,Default Title,carro-089,300,shopify,79,deny,manual,48.70,,TRUE,FALSE,FALSE,Protetor Sol Para-brisa — ALVA,Carro · envio após a confirmação do pagamento.,active
aromatizador-clip,Aromatizador Clip,<p>Carro · envio após a confirmação do pagamento.</p>,ALVA,,Carro,Carro,TRUE,Title,Default Title,carro-090,300,shopify,80,deny,manual,19.68,,TRUE,FALSE,FALSE,Aromatizador Clip — ALVA,Carro · envio após a confirmação do pagamento.,active
kit-emergencia,Kit Emergência,<p>Carro · envio após a confirmação do pagamento.</p>,ALVA,,Carro,Carro,TRUE,Title,Default Title,carro-091,300,shopify,81,deny,manual,130.54,,TRUE,FALSE,FALSE,Kit Emergência — ALVA,Carro · envio após a confirmação do pagamento.,active
